Location No,User Count,Subnet Mask,Network IP,First IP,Last IP,Broadcast IP,Next Network IP,Block Size
1,96,/24,192.168.0.0,192.168.0.1,192.168.0.254,192.168.0.255,192.168.1.0,256
2,96,/24,192.168.1.0,192.168.1.1,192.168.1.254,192.168.1.255,192.168.2.0,256
3,96,/24,192.168.2.0,192.168.2.1,192.168.2.254,192.168.2.255,192.168.3.0,256
4,480,/23,192.168.2.0,192.168.2.1,192.168.3.254,192.168.3.255,192.168.4.0,512
5,144,/24,192.168.4.0,192.168.4.1,192.168.4.254,192.168.4.255,192.168.5.0,256
6,72,/24,192.168.5.0,192.168.5.1,192.168.5.254,192.168.5.255,192.168.6.0,256
7,192,/24,192.168.6.0,192.168.6.1,192.168.6.254,192.168.6.255,192.168.7.0,256
8,24,/24,192.168.7.0,192.168.7.1,192.168.7.254,192.168.7.255,192.168.8.0,256
9,96,/24,192.168.8.0,192.168.8.1,192.168.8.254,192.168.8.255,192.168.9.0,256
10,24,/24,192.168.9.0,192.168.9.1,192.168.9.254,192.168.9.255,192.168.10.0,256
11,480,/23,192.168.10.0,192.168.10.1,192.168.11.254,192.168.11.255,192.168.12.0,512
12,576,/22,192.168.12.0,192.168.12.1,192.168.15.254,192.168.15.255,192.168.16.0,1024
13,24,/24,192.168.16.0,192.168.16.1,192.168.16.254,192.168.16.255,192.168.17.0,256
14,216,/24,192.168.17.0,192.168.17.1,192.168.17.254,192.168.17.255,192.168.18.0,256
15,24,/24,192.168.18.0,192.168.18.1,192.168.18.254,192.168.18.255,192.168.19.0,256
16,384,/23,192.168.18.0,192.168.18.1,192.168.19.254,192.168.19.255,192.168.20.0,512
17,192,/24,192.168.20.0,192.168.20.1,192.168.20.254,192.168.20.255,192.168.21.0,256
18,288,/23,192.168.20.0,192.168.20.1,192.168.21.254,192.168.21.255,192.168.22.0,512
19,696,/22,192.168.20.0,192.168.20.1,192.168.23.254,192.168.23.255,192.168.24.0,1024
20,168,/24,192.168.24.0,192.168.24.1,192.168.24.254,192.168.24.255,192.168.25.0,256
21,24,/24,192.168.25.0,192.168.25.1,192.168.25.254,192.168.25.255,192.168.26.0,256
22,216,/24,192.168.26.0,192.168.26.1,192.168.26.254,192.168.26.255,192.168.27.0,256
23,72,/24,192.168.27.0,192.168.27.1,192.168.27.254,192.168.27.255,192.168.28.0,256
24,24,/24,192.168.28.0,192.168.28.1,192.168.28.254,192.168.28.255,192.168.29.0,256
