Site,Users,Hosts Needed,Subnet,Subnet Mask,Block Size,Network IP,First Usable IP,Broadcast IP,Next Network IP
1,96,126,/25,255.255.255.128,128,192.168.0.0,192.168.0.1,192.168.0.127,192.168.0.128
2,96,126,/25,255.255.255.128,128,192.168.0.128,192.168.0.129,192.168.0.255,192.168.1.0
3,60,62,/26,255.255.255.192,64,192.168.1.0,192.168.1.1,192.168.1.63,192.168.1.64
4,312,510,/23,255.255.254.0,512,192.168.0.0,192.168.0.1,192.168.1.255,192.168.2.0
5,108,126,/25,255.255.255.128,128,192.168.2.0,192.168.2.1,192.168.2.127,192.168.2.128
6,72,126,/25,255.255.255.128,128,192.168.2.128,192.168.2.129,192.168.2.255,192.168.3.0
7,120,126,/25,255.255.255.128,128,192.168.3.0,192.168.3.1,192.168.3.127,192.168.3.128
8,12,14,/28,255.255.255.240,16,192.168.3.128,192.168.3.129,192.168.3.143,192.168.3.144
9,96,126,/25,255.255.255.128,128,192.168.3.128,192.168.3.129,192.168.3.255,192.168.4.0
10,12,14,/28,255.255.255.240,16,192.168.4.0,192.168.4.1,192.168.4.15,192.168.4.16
11,312,510,/23,255.255.254.0,512,192.168.4.0,192.168.4.1,192.168.5.255,192.168.6.0
12,480,510,/23,255.255.254.0,512,192.168.6.0,192.168.6.1,192.168.7.255,192.168.8.0
13,12,14,/28,255.255.255.240,16,192.168.8.0,192.168.8.1,192.168.8.15,192.168.8.16
14,180,254,/24,255.255.255.0,256,192.168.8.0,192.168.8.1,192.168.8.255,192.168.9.0
15,12,14,/28,255.255.255.240,16,192.168.9.0,192.168.9.1,192.168.9.15,192.168.9.16
16,384,510,/23,255.255.254.0,512,192.168.8.0,192.168.8.1,192.168.9.255,192.168.10.0
17,192,254,/24,255.255.255.0,256,192.168.10.0,192.168.10.1,192.168.10.255,192.168.11.0
18,240,254,/24,255.255.255.0,256,192.168.11.0,192.168.11.1,192.168.11.255,192.168.12.0
19,480,510,/23,255.255.254.0,512,192.168.12.0,192.168.12.1,192.168.13.255,192.168.14.0
20,108,126,/25,255.255.255.128,128,192.168.14.0,192.168.14.1,192.168.14.127,192.168.14.128
21,12,14,/28,255.255.255.240,16,192.168.14.128,192.168.14.129,192.168.14.143,192.168.14.144
22,132,254,/24,255.255.255.0,256,192.168.14.0,192.168.14.1,192.168.14.255,192.168.15.0
23,48,62,/26,255.255.255.192,64,192.168.15.0,192.168.15.1,192.168.15.63,192.168.15.64
24,12,14,/28,255.255.255.240,16,192.168.15.64,192.168.15.65,192.168.15.79,192.168.15.80
25,12,14,/28,255.255.255.240,16,192.168.15.80,192.168.15.81,192.168.15.95,192.168.15.96
26,384,510,/23,255.255.254.0,512,192.168.14.0,192.168.14.1,192.168.15.255,192.168.16.0
27,144,254,/24,255.255.255.0,256,192.168.16.0,192.168.16.1,192.168.16.255,192.168.17.0
28,264,510,/23,255.255.254.0,512,192.168.16.0,192.168.16.1,192.168.17.255,192.168.18.0
29,108,126,/25,255.255.255.128,128,192.168.18.0,192.168.18.1,192.168.18.127,192.168.18.128
30,72,126,/25,255.255.255.128,128,192.168.18.128,192.168.18.129,192.168.18.255,192.168.19.0
31,36,62,/26,255.255.255.192,64,192.168.19.0,192.168.19.1,192.168.19.63,192.168.19.64
32,48,62,/26,255.255.255.192,64,192.168.19.64,192.168.19.65,192.168.19.127,192.168.19.128
33,216,254,/24,255.255.255.0,256,192.168.19.0,192.168.19.1,192.168.19.255,192.168.20.0
